adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/3KbXVylgEd6IFnQxh54aExQDBoA.jpg,[10767],323418,['US'],en,The Vampire Lestat: After Dark,Dive deeper into the world of The Vampire Lestat with this new series that takes fans behind the scenes of each episode with members of the cast and creative team. Hosted by writer and podcaster Lizzie Bassett.,2.3748,/4we4BEbdWlWWdd2kXtAm0uXFyac.jpg,2026-06-07,False,The Vampire Lestat: After Dark,5.5,2
False,/rzFWrUMPl5JEZYXcnTLmd2uv2sF.jpg,[10764],325114,['KR'],ko,연애전쟁,"Couples standing on the brink of separation are faced with one question: stay together or part ways? With the help of three experienced relationship observers, they confront their deepest conflicts to discover whether their relationship still has a future.",1.9204,/s8cQ3omLNwPIVWPyHpEBBsS9YJd.jpg,2026-06-23,False,Love War,0.0,0
False,/hhGw73wWW8CPW5UWE0L0RMT8RrJ.jpg,"[99, 80, 10764]",227144,['US'],en,Contraband: Seized at the Border,"The border between the USA and Mexico is the busiest in the world. This series follows the work of America's Customs and Border Protection agency, whose job is to defend the border and stop terrorists, drugs and illegal weapons from entering the country.",1.5948,/hlCLRojglopcOtPKY1621oFH0kB.jpg,2023-05-23,False,Contraband: Seized at the Border,9.0,5
False,/vC2SxRXKStnGbjeqjP5dcTNSQBa.jpg,[10765],317872,['RU'],ru,Малахит,"In the small village of Krasny Kamen, three seventh—graders ― Roma, Asya and Gordey - are spending their summer holidays carefree. But one day, while swimming in a flooded copper ore quarry, Roma finds a magical malachite nugget that grants him an amazing ability: everything he draws becomes reality. But it turned out that along with the miraculous find, the ancient spirit of the Black Raven mine was released from the depths of the old quarry. He really can fulfill absolutely any wish, but in return he will demand to pay too high a price. Now the guys will have to show fortitude and prove that pure thoughts, warmth of hearts and true strong friendship are able to resist the terrible ancient evil.",1.6812,/rtxVkHHvD5JNygo9MvGxGmpizKc.jpg,2026-06-12,False,Malachite,0.0,0
False,,[10764],314384,['BR'],pt,Elevator Pitch Brasil,,2.3335,,2026-07-05,False,Elevator Pitch Brasil,0.0,0
False,/eEZJbbYQeABFV8Mrh0sdgUWAe69.jpg,[10764],66001,['AU'],en,First Dates Australia,"When the First Dates restaurant sets the table, hopeful singles from across the country will have a chance of meeting their dream partner. They’ve turned their backs on online dating in the hope of meeting someone special face-to-face, and they’ll meet their potential love match for the very first time in the restaurant.",1.4462,/m6S6GuWIvf7ahytNyrBI8KLxQ9B.jpg,2016-02-03,False,First Dates Australia,6.5,4
False,/e6Z2R0NWw5WJ2kcvV5CqxJ7oeOd.jpg,"[10764, 99]",323541,['US'],en,Crashers,"Crashers is a high-energy renovation series. Home restoration expert Jonathan Knight ambushes folks in everyday places — the local coffee, the hardware store, even the school pickup line — and offers them the surprise of a lifetime: a free 72-hour renovation of a lackluster space of their choosing. Before the work begins, the homeowners must agree to three rules: the renovation starts immediately; they have no say in the design; and they must vacate their home for the full three-day timespan.",1.4737,/rzOrnVzgQfb5Mk3iLQ37hlcGSWY.jpg,2026-06-08,False,Crashers,0.0,0
False,,"[16, 35, 10765, 10759]",284581,['JP'],ja,最強出涸らし皇子の暗躍帝位争い 無能を演じるSSランク皇子は皇位継承戦を影から支配する,"Arnold is a lethargic prince who is ridiculed by the entire empire as an ""insipid"" runner. But in fact, he is the most powerful prince with a secret identity as Silver, an SS-grade adventurer who manipulates forbidden ancient magic!",1.4553,/etpSosywRvOO8mds61uv3aSjhDF.jpg,2026-07-06,False,The Insipid Prince's Furtive Grab for the Throne,0.0,0
False,/9urSeJFXBJUIGSBaHYMqWbwB26Z.jpg,[10764],157824,['DE'],de,Prominent getrennt - Die Villa der Verflossenen,In this RTL show former celebrity couples are forced to work together to win the jackpot.,1.2462,/6EzNTj30Vk3V6L5ldVUGS3ReSIC.jpg,2022-02-15,False,Prominent getrennt - Die Villa der Verflossenen,7.0,1
False,/AfzpZvXPwk73J2l8UsoMxNio0cU.jpg,[18],324334,['GR'],el,Apo ilio se ilio,"Set against the historic 1916 miners' strike on the Greek island of Serifos, the series blends fiction with real events from a landmark moment in the labor movement. Perseas, the son of a miner killed in the island's dangerous tunnels, grows up under the guidance of his strong and unconventional mother, Katerineta, who teaches him to face life with courage and dignity. Forced by circumstance to follow his father's path, Perseas begins working in the harsh and perilous mines from dawn until dusk, struggling to survive in the island's unforgiving landscape. Amid exhausting labor and growing tensions between workers and mine owners, Perseas falls in love with Andromeda, the daughter of a man who stands against him and the miners' cause. Their relationship unfolds alongside the rising unrest of the workers, whose fight for fair treatment and humane working conditions becomes a defining moment in their lives and in the broader history of social struggle.",1.0486,/hDvNqfF6TWAhOlYAvlop1aisIft.jpg,2026-03-02,False,From Sunrise to Sunset,0.0,0
False,/9R15wIAjPnZqZkP1bZtTAGS7uT7.jpg,"[18, 10751, 35]",287618,"['ES', 'PE']",es,Eres Mi Sangre,,1.3502,/4yUw43LNRQKdaxToJVb4lDdfqqj.jpg,2025-04-01,False,Eres Mi Sangre,8.0,2
False,/c0g2ZOBLruVSqIHlvHyYToLzrAh.jpg,"[18, 35, 10751, 9648]",278620,"['ES', 'PE']",es,Nina de Azucar,,1.3774,/lUUBF3WYljJKiEy4ZlP3SX4N5DA.jpg,2024-12-02,False,Nina de Azucar,6.0,1
False,/2PzhPSYuqRo7GOPLjmJgZq3SlVh.jpg,[10764],324264,['US'],en,The Ultimate Rider,"The Ultimate Rider is a high-performance reality series built to find the next professional motocross athlete. Sixteen riders. Two weeks. No outside contact. No second chances. Through relentless training, competition, and pressure, riders are pushed to their limits—physically, mentally, and emotionally. There are no eliminations. Only performance. Only progression. At the end, one rider earns a contract—and a future in professional motocross.",2.5701,/tG8QDzwOwnxlHHrpZrjoqzswoVd.jpg,2026-06-07,False,The Ultimate Rider,10.0,1
False,/jF60ekaM3mfTF8cMCjMt4Hv74x7.jpg,[99],229732,['JP'],en,RAMEN JAPAN,"Ramen is a savory combination of umami-packed broth and perfectly cooked noodles. This program offers an encyclopedic view of this delectable dish, taking you on a journey across Japan to discover ever-evolving local variations. Join us as we explore a tapestry of local customs and food culture through the lens of ramen.",1.2842,/d6fOE9OyzCYh0Os5rbXvc2CV4c3.jpg,2023-06-21,False,RAMEN JAPAN,10.0,1
False,/aJ2hJVT3aWNeIdHk5SKYVIXYrhx.jpg,"[18, 35]",314441,['JP'],ja,コンビニ兄弟　テンダネス門司港こがね村店,"At a lively Mojiko convenience store, a charming manager and his mysterious brother turn everyday chaos into comedy, while a sharp-witted employee turns their antics into a viral webcomic.",1.5158,/7qd2EQWICqfEWF6KvW2xf7xiY3H.jpg,2026-04-28,False,Convenience Store Kyodai,0.0,0
False,/47TnvQKnRpFyK5vmrxD3fvxoQgg.jpg,"[10764, 35]",326072,['DK'],da,24 stjerners julikalender,,2.3307,/vT7tIZEIucIfMEToWRpTzP9QhAp.jpg,2026-06-23,False,24 stjerners julikalender,10.0,1
False,/lr5UEe8uYh0yxQ6894jRlJgrg8S.jpg,[10764],323041,['US'],en,Little Singles,"Living in an average sized world comes with daily challenges, from accessibility and social stigma to dating and self-confidence. In this house, everyone is on equal footing, creating a space where they can fully be themselves. What begins as a carefree getaway among friends quickly evolves into a chosen family experience. With a mix of personalities, relationship histories, and different forms of dwarfism, the group explores what love, honesty, and truly belonging really mean.",1.6964,/eTR7IIKuVTs7GpoGmL9zIxRRXXm.jpg,2026-06-15,False,Little Singles,8.0,1
False,/61vJHaFTn3o3ignKtZZoHscthlR.jpg,[99],213676,['AU'],en,Stuff the British Stole,"Follow Marc Fennell on a globe-trotting, emotional quest for the truth as he unravels the twisted mysteries behind six iconic and priceless objects taken by the British Empire and meets those who want them back.",1.1088,/jAqYgwBldbKiEdBeU7T0puqEaY.jpg,2022-11-01,False,Stuff the British Stole,5.5,4
False,/9iHO4CKLCCpqSV2FfLBdsi2Gp22.jpg,"[80, 99]",255805,['US'],en,Deadly Influence: The Social Media Murders,"Social Media Influencers seem to have it all — money, celebrity, power. But in these shocking true crime stories, there is a horrifying dark side to the fame, which reveals how these online dreams can quickly become blood-soaked nightmares.",1.178,/1aQ5HK1m9WLEOnlBcjiCmB2BuXV.jpg,2024-06-03,False,Deadly Influence: The Social Media Murders,6.5,4
False,,[],321645,['US'],en,Golden Cab,"Golden Cab is a critically acclaimed dramatic sitcom that showcases the profound emotional depth of Maureen Ruby Jackson. Set against the bustling, neon-lit streets of a modern metropolis, the series follows the lives of the eccentric and big-hearted drivers of the ""Golden Cab"" taxi company.

Maureen stars as Penny, a vulnerable yet resilient girl escaping a history of abuse. After a chance encounter with a kind-hearted driver, she is taken in by the Golden Cab ""family."" The show masterfully balances laugh-out-loud comedy with ""soul-stirring"" moments as Penny learns to trust again, using her hidden musical talents to bring hope to the weary passengers who enter her life.",1.0973,,2026-05-05,False,Golden Cab,0.0,0
False,/xOgcr2PAe8Vbg34qaZQ3Prok7Lv.jpg,[10764],276408,['PL'],pl,Awantura o kasę,,1.1749,/qeYToUSvLarlUSabMzTcYsAkKBs.jpg,2024-10-05,False,Awantura o kasę,0.0,0
False,/taaZBRjpMEBq4140fwm06zAWrcj.jpg,[99],196099,['GB'],en,Cornwall: A Year by the Sea,"Exploring Cornwall as a thriving county all year round. There may be a bountiful tourism industry, but Cornwall's proud and hard-working locals still farm the land and fish the sea, coming together for traditional celebrations throughout the year.",1.2913,/9IKHZd7WZEGSXUHDIzLvmAYwRa6.jpg,2022-03-25,False,Cornwall: A Year by the Sea,0.0,0
False,/8pW76cqzO8slSpBjTAuxYvwfFKM.jpg,[99],251409,['CN'],zh,徒步101,,1.0945,/vCqBU44q0DZrL3jvGazVVuReIij.jpg,2022-12-16,False,徒步101,0.0,0
False,/5uVU7hOfd9SRNtgl7woMJwycO74.jpg,[18],324551,['CN'],zh,帝师长安,"Luo Chang’an, a modern engineering prodigy, is reborn as a magistrate in the war-torn Jiuzhang County of ancient Anguo and uses unconventional economic strategies to rebuild it into a prosperous settlement, eventually drawing attention from the imperial court and rising into political influence beyond local governance.",1.4234,/3OPG43AEJmfa5xvvL5COoSW7ABu.jpg,2026-06-25,False,The Imperial Master,0.0,0
False,/82F7t5uoI9eYb6RyZvO6USNgcqF.jpg,"[80, 10767]",320935,['US'],en,Allegedly with Ellison Barber,"Hosted weekly by journalist Ellison Barber, this gripping podcast digs into the most captivating and talked about true crime cases.",1.7102,/hiYwO8s4BnCNwj7gc6khFbB8R9A.jpg,2026-04-29,False,Allegedly with Ellison Barber,0.0,0
False,/povQuesBJz9CzMYRGhUmGiWsOj8.jpg,"[10767, 10764]",285763,['US'],en,Weird Kids,"Ashley Johnson and Taliesin Jaffe deep dive into their lives as the Weird Kids! This is a formal invitation to all the misfits, outcasts, and weirdos to take a seat at our table and join these former child actors as they embrace their unique upbringings and celebrate all things weird and wonderful.",1.6344,/lSEioI7sqoIqoBAIQvryT6WXdZD.jpg,2025-03-25,False,Weird Kids,0.0,0
