adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count,name,original_name,first_air_date,origin_country,gender,known_for_department,profile_path
False,/QZaPkNUvhdcKONuO2fXuqtcQRo.jpg,110316,,,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to win.",/Ac8ruycRXzgcsndTZFK6ouGA0FA.jpg,tv,ja,"[9648, 18, 10759]",39.9124,,False,True,8.094,2727,Alice in Borderland,今際の国のアリス,2020-12-10,['JP'],,,
False,/hniERZojXCEc7Fp3yljZUigOAhm.jpg,1290417,Thrash,Thrash,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",/adk8weka3O5648g3de4z3y4aE7G.jpg,movie,en,"[27, 53]",22.6933,2026-04-10,False,False,6.1,662,,,,,,,
False,/w3agwUSMpJ4X9t1jGrDtqqRPjDQ.jpg,123542,,,"Using superpowers to enter their clientele’s photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at “Time Photo Studio,” a small photography shop set in the backdrop of a modern metropolis. Each job can be full of danger, but nothing is more important than fulfilling every order, no matter the scale…or peril involved!",/hCt2bLRGTCjHGqtV5FP3Img6w1h.jpg,tv,zh,"[16, 10765, 9648, 18]",15.4134,,False,True,8.216,111,LINK CLICK,时光代理人,2021-04-30,['CN'],,,
False,/pxd9rc03EMMln3tVFdfd427Fpsi.jpg,1542261,Doraemon the Movie: New Nobita and the Castle of the Undersea Devil,映画ドラえもん 新・のび太の海底鬼岩城,"Nobita and friends finds a secret underwater castle packed with mysteries and riches. With Doraemon's high-tech gadgets, they dive into an ocean adventure mixing humor, teamwork, and imagination in a breathtaking aquatic world.",/j0n3oaUqbig4Gb0yG1GPrb2KRyl.jpg,movie,ja,"[16, 12, 14, 10751]",11.5904,2026-02-27,False,False,7.5,8,,,,,,,
False,/yJi6g0CnsqANLNuVaRX28tZxeHX.jpg,1193501,Whistle,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",/vgonf5kGsiijUBjzxKTvechhT28.jpg,movie,en,"[27, 9648]",14.2571,2026-01-20,False,False,6.326,492,,,,,,,
False,/t02dITrzFNNFEaogaxSOgibpZfp.jpg,139060,,,"Destructive monsters from the Mato dimension threaten the earth, while women gifted with powers from Peaches try to stop them. But to save the world, Yuuki must be willing to become Chief Kyoka's servant both on the battlefield and at home.",/9SFBctEZE0X4t1A2q16MC7EJrsC.jpg,tv,ja,"[16, 10759, 10765]",29.5181,,False,True,7.925,106,Chained Soldier,魔都精兵のスレイブ,2024-01-04,['JP'],,,
False,/14LzHqJrFcHk7ruMNCXpEkB0Thg.jpg,44006,,,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",/r915sk2JpthZSjHEgZKifWxgo6L.jpg,tv,en,[18],98.3641,,False,True,8.4,2404,Chicago Fire,Chicago Fire,2012-10-10,['US'],,,
False,/8hj0mxCTJkgVWkagdxzfYdVXHVc.jpg,235643,,,"Hunted for possessing a heaven-defying object, Yun Che is a young man in both that life and the next. Throwing himself off a cliff to spite his pursuers, Yun Che is reincarnated as Xiao Che, a recently poisoned teen in another realm. Just as hated in this life as the previous one, Che must overcome his own hostile clan, his own inability to cultivate, and his own frosty fiancée.",/fMRNGpZBOzCmziMfBrjKp8lI9ZZ.jpg,tv,zh,"[16, 10759, 10765]",7.1039,,False,True,8.8,5,Against the Gods,逆天邪神,2023-09-23,['CN'],,,
False,/fH4pbzTCP1EWbZ1BoCtx7lgRb1F.jpg,1232667,"Miss You, Love You","Miss You, Love You","A blunt, grieving widow is forced to plan her husband’s funeral with a total stranger: her estranged gay son’s gay assistant. As they fumble through grief and their strange, darkly funny circumstances, buried secrets and long-held resentments surface, but their partnership becomes an unlikely conduit for connection, laughter, and healing for this mother and her unexpected surrogate son.",/aVt8ubqnuBU8R5MVNbuf9OTy8sa.jpg,movie,en,[18],7.3232,2026-05-29,False,False,6.5,13,,,,,,,
False,/sK8NNLj84UQU9ynNXvz01IpRk9.jpg,315494,,,"An arrogant IT tycoon is reincarnated as a struggling dry cleaner in the past, using his future knowledge to find his killer while rediscovering his humanity.",/6rJ4uJlfdRAkBHV7jP6kdiHgFBH.jpg,tv,ja,[9648],3.6566,,False,True,6.75,4,Reborn,リボーン ～最後のヒーロー～,2026-04-14,['JP'],,,
